TimeFrame,Location ID,Dwelling Type,Total Bonds,Active Bonds,Closed Bonds,Median Rent,Geometric Mean Rent
1/04/2026,-99,ALL,22014,113820,6969,550,522
1/04/2026,100100,ALL,6,9,0,425,408
1/04/2026,100600,ALL,6,12,3,588,585
1/04/2026,100700,ALL,6,30,3,550,530
1/04/2026,100800,ALL,15,51,0,500,520
1/04/2026,101100,ALL,6,36,3,570,536
1/04/2026,102800,ALL,6,21,3,698,649
1/04/2026,103000,ALL,9,33,3,580,482
1/04/2026,103100,ALL,9,27,3,650,606
1/04/2026,103500,ALL,12,69,3,470,451
1/04/2026,103900,ALL,12,42,3,500,525
1/04/2026,105500,ALL,9,27,0,530,537
1/04/2026,105800,ALL,12,27,0,645,638
1/04/2026,105900,ALL,6,30,3,645,634
1/04/2026,106100,ALL,12,63,0,545,552
1/04/2026,106200,ALL,18,75,3,555,540
1/04/2026,106500,ALL,9,39,3,600,612
1/04/2026,106600,ALL,21,153,12,490,434
1/04/2026,106800,ALL,15,84,0,595,573
1/04/2026,106900,ALL,18,90,0,555,521
1/04/2026,107000,ALL,21,117,3,490,463
1/04/2026,107100,ALL,6,57,3,465,498
1/04/2026,107200,ALL,12,39,3,548,534
1/04/2026,107300,ALL,6,33,0,515,535
1/04/2026,107400,ALL,12,111,9,360,325
1/04/2026,107500,ALL,9,78,3,560,533
1/04/2026,107800,ALL,6,24,3,513,500
1/04/2026,108100,ALL,6,21,0,550,551
1/04/2026,108200,ALL,9,48,3,450,444
1/04/2026,108300,ALL,15,39,3,580,552
1/04/2026,108500,ALL,6,18,3,508,497
1/04/2026,108700,ALL,12,42,0,670,661
1/04/2026,108800,ALL,15,42,3,580,576
1/04/2026,109000,ALL,6,30,3,520,466
1/04/2026,109300,ALL,30,135,6,530,456
1/04/2026,109500,ALL,6,24,3,575,553
1/04/2026,109700,ALL,6,12,3,538,517
1/04/2026,109900,ALL,18,33,3,670,690
1/04/2026,110200,ALL,6,12,0,455,471
1/04/2026,110400,ALL,6,21,0,690,650
1/04/2026,110900,ALL,6,9,3,658,676
1/04/2026,111100,ALL,6,24,0,685,671
1/04/2026,111200,ALL,6,27,0,685,697
1/04/2026,111300,ALL,18,51,3,688,634
1/04/2026,111500,ALL,6,15,0,1200,1183
1/04/2026,111700,ALL,12,48,6,695,618
1/04/2026,112700,ALL,12,39,3,795,753
1/04/2026,112900,ALL,9,24,0,775,777
1/04/2026,113000,ALL,18,78,6,630,618
1/04/2026,113100,ALL,6,15,0,825,710
1/04/2026,113300,ALL,15,36,0,750,796
1/04/2026,113400,ALL,9,39,0,795,709
1/04/2026,113800,ALL,12,24,3,525,612
1/04/2026,113900,ALL,9,24,0,750,788
1/04/2026,114000,ALL,9,30,3,750,738
1/04/2026,114100,ALL,6,15,0,690,744
