id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,month/year
948754193074213128,Majestic CourtMotel/No Cleaning Fee,238866720,Deepak,Christchurch City,Riccarton Ward,-43.53028,172.59397,Private room,,1.0,2,2023-11-18,0.07,2,361,0,,2023-11
1103787467513725189,Strowan manor - off street park,8056856,Samantha,Christchurch City,Fendalton Ward,-43.50819105105269,172.60960839196972,Entire home/apt,,2.0,31,2026-02-13,1.3,1,122,20,,2026-02
41858980,The Boathouse - Akaroa Holiday Home,145244100,Bachcare,Christchurch City,Banks Peninsula Ward,-43.8072,172.96675,Entire home/apt,,2.0,21,2025-10-21,0.29,1470,361,1,,2025-10
1096862117472449647,Luxury Brand New 2 Bed 5 Minutes From CBD,90918992,Lily-SimplyHost,Christchurch City,Fendalton Ward,-43.51413,172.62408,Entire home/apt,,1.0,12,2025-12-25,0.51,1,152,2,,2025-12
1534253212713740725,Stadium studio,220001641,Ed,Christchurch City,Central Ward,-43.52896933914158,172.6419333559511,Private room,,1.0,2,2025-11-30,0.67,1,83,2,,2025-11
39840259,Easy Christchurch Central Townhouse,221014561,William,Christchurch City,Spreydon Ward,-43.54111,172.61587,Entire home/apt,,1.0,428,2026-02-01,5.62,1,111,79,,2026-02
1453413355176624783,Summer holiday in Christchurch?,426510159,Darren,Christchurch City,Heathcote Ward,-43.56265,172.71917,Entire home/apt,,3.0,1,2026-01-24,1.0,1,0,1,,2026-01
35468559,Orari - Room 3,258827985,Ashton,Christchurch City,Central Ward,-43.53,172.63007,Hotel room,,1.0,9,2024-12-28,0.12,10,260,0,,2024-12
1211500840353801863,Amross Court centrally located,592876483,Vincent,Christchurch City,Central Ward,-43.51986,172.63062,Entire home/apt,,1.0,7,2025-02-11,0.4,1,161,0,,2025-02
1168540827508543105,Haka House-Entire 8 Bed Dorm Ens,565751605,Haka House Hostel Christchurch,Christchurch City,Central Ward,-43.53219,172.62984,Private room,,1.0,0,,,10,37,0,,
1160367346273165266,A touch of country in the city.,83867474,Michael,Christchurch City,Burwood Ward,-43.4849286,172.6746291,Entire home/apt,,1.0,39,2026-02-07,2.83,1,324,36,,2026-02
1156153354680620039,Nice tidy house.,577449487,Gurbir,Christchurch City,Coastal Ward,-43.47257,172.69397,Private room,,1.0,0,,,1,263,0,,
1583705298392044829,Master bedroom with its own bathroom and toilet.,733820483,Bhupinder,Christchurch City,Innes Ward,-43.49556748982597,172.65456373857197,Private room,,1.0,5,2026-02-14,4.69,1,344,5,,2026-02
957523927166819985,Deluxe Studio,238866720,Deepak,Christchurch City,Riccarton Ward,-43.5298776,172.5942356,Private room,,1.0,0,,,2,362,0,,
1315456522610119406,A hidden gem near airport,172147331,Hung Thai,Christchurch City,Hornby Ward,-43.53318,172.51572,Entire home/apt,,1.0,1,2024-12-26,0.07,1,241,0,,2024-12
1222454194171988749,Room in Aidanfield,558133838,Nikita,Christchurch City,Halswell Ward,-43.56373,172.56445,Private room,,1.0,0,,,1,363,0,,
25267981,CBD Fringe Hidden Gem,190903503,Nan,Christchurch City,Heathcote Ward,-43.5516803,172.638343,Entire home/apt,,1.0,5,2026-02-14,4.05,1,59,5,,2026-02
